scientific,xc_common,bn_code,bn_common,bn_mapping_in_xc_dataset,relationship,ibp_alpha
setophaga-tigrina,capemaywarbler,camwar,capemaywarbler,setophaga-tigrina,,CMWA
setophaga-cerulea,ceruleanwarbler,cerwar,ceruleanwarbler,setophaga-cerulea,,CERW
setophaga-americana,northernparula,norpar,northernparula,setophaga-americana,,NOPA
setophaga-magnolia,magnoliawarbler,magwar,magnoliawarbler,setophaga-magnolia,,MAWA
setophaga-castanea,baybreastedwarbler,babwar,baybreastedwarbler,setophaga-castanea,,BBWA
setophaga-fusca,blackburnianwarbler,bkbwar,blackburnianwarbler,setophaga-fusca,,BLBW
setophaga-aestiva,americanyellowwarbler,yelwar,yellowwarbler,setophaga-aestiva,XC split with only one species in the ABA area; BirdNet's name for the complex (setophaga-petechia) refers to the XC species INSIDE the ABA area,
setophaga-pensylvanica,chestnutsidedwarbler,chswar,chestnutsidedwarbler,setophaga-pensylvanica,,CSWA
setophaga-striata,blackpollwarbler,bkpwar,blackpollwarbler,setophaga-striata,,BLPW
setophaga-caerulescens,blackthroatedbluewarbler,btbwar,blackthroatedbluewarbler,setophaga-caerulescens,,BTBW
setophaga-palmarum,palmwarbler,palwar,palmwarbler,setophaga-palmarum,,PAWA
setophaga-pinus,pinewarbler,pinwar,pinewarbler,setophaga-pinus,,PIWA
setophaga-coronata,myrtlewarbler,yerwar,yellowrumpedwarbler,,XC split with multiple species in the ABA area; BirdNet's name for the complex (setophaga-coronata) refers to one of the XC subspecies,YRWA
setophaga-dominica,yellowthroatedwarbler,yetwar,yellowthroatedwarbler,setophaga-dominica,,YTWA
setophaga-discolor,prairiewarbler,prawar,prairiewarbler,setophaga-discolor,,PRAW
setophaga-graciae,graceswarbler,grawar,graceswarbler,setophaga-graciae,,GRWA
setophaga-nigrescens,blackthroatedgraywarbler,btywar,blackthroatedgraywarbler,setophaga-nigrescens,,BTYW
setophaga-townsendi,townsendswarbler,towwar,townsendswarbler,setophaga-townsendi,,TOWA
setophaga-occidentalis,hermitwarbler,herwar,hermitwarbler,setophaga-occidentalis,,HEWA
setophaga-virens,blackthroatedgreenwarbler,btnwar,blackthroatedgreenwarbler,setophaga-virens,,BTNW
cardellina-canadensis,canadawarbler,canwar,canadawarbler,cardellina-canadensis,,CAWA
cardellina-pusilla,wilsonswarbler,wlswar,wilsonswarbler,cardellina-pusilla,,WIWA
cardellina-rubrifrons,redfacedwarbler,refwar,redfacedwarbler,cardellina-rubrifrons,,RFWA
myioborus-pictus,paintedwhitestart,paired,paintedredstart,myioborus-pictus,"Same species, different common name",PARE
piranga-hepatica,hepatictanager,,,,XC split with only one species in the ABA area; BirdNet's name for the complex (piranga-flava) refers to the XC species outside the ABA area,
piranga-rubra,summertanager,sumtan,summertanager,piranga-rubra,,SUTA
piranga-olivacea,scarlettanager,scatan,scarlettanager,piranga-olivacea,,SCTA
piranga-ludoviciana,westerntanager,westan,westerntanager,piranga-ludoviciana,,WETA
cardinalis-cardinalis,northerncardinal,norcar,northerncardinal,cardinalis-cardinalis,,NOCA
cardinalis-sinuatus,pyrrhuloxia,pyrrhu,pyrrhuloxia,cardinalis-sinuatus,,PYRR
pheucticus-ludovicianus,rosebreastedgrosbeak,robgro,rosebreastedgrosbeak,pheucticus-ludovicianus,,RBGR
pheucticus-melanocephalus,blackheadedgrosbeak,bkhgro,blackheadedgrosbeak,pheucticus-melanocephalus,,BHGR
passerina-caerulea,bluegrosbeak,blugrb1,bluegrosbeak,passerina-caerulea,,BLGR
passerina-amoena,lazulibunting,lazbun,lazulibunting,passerina-amoena,,LAZB
passerina-cyanea,indigobunting,indbun,indigobunting,passerina-cyanea,,INBU
passerina-versicolor,variedbunting,varbun,variedbunting,passerina-versicolor,,VABU
passerina-ciris,paintedbunting,paibun,paintedbunting,passerina-ciris,,PABU
spiza-americana,dickcissel,dickci,dickcissel,spiza-americana,,DICK
paroaria-coronata,redcrestedcardinal,reccar,redcrestedcardinal,paroaria-coronata,,RCCA
sicalis-flaveola,saffronfinch,saffin,saffronfinch,sicalis-flaveola,,SAFI
passerella-unalaschcensis,sootyfoxsparrow,,,,XC split with multiple species in the ABA area; BirdNet's name for the entire complex (passerella-iliaca) refers to one of the ABA XC subspecies,
passerella-schistacea,slatecoloredfoxsparrow,,,,XC split with multiple species in the ABA area; BirdNet's name for the entire complex (passerella-iliaca) refers to one of the ABA XC subspecies,
passerella-megarhyncha,thickbilledfoxsparrow,,,,XC split with multiple species in the ABA area; BirdNet's name for the entire complex (passerella-iliaca) refers to one of the ABA XC subspecies,
setophaga-auduboni,audubonswarbler,,,,XC split with multiple species in the ABA area; BirdNet's name for the complex (setophaga-coronata) refers to one of the XC ABA subspecies,
